Unidentified Advanced Recon Force Scout Trooper commander, Classification: Human (clone)
Unidentified BX-series droid commando captain (Citadel), Classification: Unknown
Unidentified EV-series medical droid, Classification: Unknown
Unidentified B1 battle droid (R2-D2), Classification: Unknown
Unidentified B1 battle droid 2 (R2-D2), Classification: Unknown
Unidentified EV-series medical droid, Classification: Unknown
Unidentified B1 battle droid (R2-D2), Classification: Unknown
Unidentified B1 battle droid 2 (R2-D2), Classification: Unknown
Unidentified Mon Calamari commander, Classification: Mon calamari
Unidentified Mon Calamari commander, Classification: Mon calamari
Unidentified T-series tactical droid 2 (Naboo), Classification: Unknown
Unidentified Aleena 1, Classification: Aleena
Unidentified Aleena 2, Classification: Aleena
Unidentified DUM-series pit droid, Classification: Unknown
Unidentified Patitite, Classification: Patitite
Unidentified Patitite 2, Classification: Patitite
Unidentified Patitite 3, Classification: Patitite
Unidentified Advanced Recon Force trooper, Classification: Human (clone)
Unidentified B1-series battle droid, Classification: Unknown
Unidentified clone trooper, Classification: Human (clone)
Unidentified T-series tactical droid, Classification: Unknown
Unidentified Twi'lek girl, Classification: Twi'lek
Unidentified Zygerrian auctioneer, Classification: Zygerrian
Unidentified junk droid, Classification: Unknown
Unidentified Anacondan, Classification: Anacondan
Unidentified human barfly, Classification: Human
Unidentified Karkarodon, Classification: Karkarodon
Unidentified Ithorian bartender (Nal Hutta), Classification: Ithorian
Unidentified Nikto guard (Nal Hutta), Classification: Nikto (kajain'sa'nikto)
Unidentified Nikto pilot, Classification: Nikto (kajain'sa'nikto)
Unidentified Nimbanel bartender, Classification: Nimbanel
Unidentified Sakiyan cargo hauler, Classification: Sakiyan
Unidentified BU-series droid bartender, Classification: Unknown
Unidentified Balnab bounty hunter, Classification: Tentacle-faced species
Unidentified human bounty hunter (Tatooine), Classification: Mandalorian
Unidentified Weequay bounty hunter, Classification: Weequay
Unidentified Nikto Jedi, Classification: Nikto (kajain'sa'nikto)
Unidentified spaceport police droid, Classification: Unknown
Unidentified Weequay pirate with goggles, Classification: Weequay
Unidentified Weequay pirate 1, Classification: Weequay
Unidentified Twi'lek child, Classification: Twi'lek
Unidentified female Onderonian rebel, Classification: Human (onderonian)
Unidentified Ishi Tib pirate, Classification: Ishi tib
Unidentified Weequay pirate with goggles, Classification: Weequay
Unidentified Weequay pirate 2, Classification: Weequay
Unidentified Weequay pirate (Crucible), Classification: Weequay
Unidentified Ishi Tib pirate, Classification: Ishi tib
Unidentified Weequay pirate with goggles, Classification: Weequay
Unidentified Ishi Tib pirate, Classification: Ishi tib
Unidentified Weequay pirate with goggles, Classification: Weequay
Unidentified Weequay pirate 2, Classification: Weequay
Unidentified Weequay pirate (dining hall), Classification: Weequay
Unidentified Aqualish, Classification: Aqualish
Unidentified B1 battle droid, Classification: Unknown
Unidentified GNK power droid, Classification: Unknown
Unidentified MSE-6 droid, Classification: Unknown
Unidentified PLNK power droid, Classification: Unknown
Unidentified super tactical droid, Classification: Unknown
Unidentified Black Sun leader, Classification: Falleen
Unidentified Death Watch soldier (white helmet), Classification: Human
Unidentified GL vendor droid (Tatooine), Classification: Unknown
Unidentified Death Watch soldier, Classification: Human
Unidentified Mandalorian police captain (bank), Classification: Human
Unidentified Mandalorian police captain, Classification: Human
Unidentified Mandalorian police officer, Classification: Human
Unidentified tour guide droid, Classification: Unknown
Unidentified Death Watch soldier, Classification: Human
Unidentified Mandalorian super commando captain, Classification: Unknown
Unidentified Pantoran witness, Classification: Pantoran
Unidentified Bith musician, Classification: Bith
Unidentified human singer, Classification: Human
Unidentified Bith musician, Classification: Bith
Unidentified human singer, Classification: Human
Unidentified Clone Captain, Classification: Human (clone)
Unidentified Clone Corporal, Classification: Human (clone)
Unidentified Clone Captain, Classification: Human (clone)
Unidentified elderly Muun, Classification: Muun
Unidentified Muun banker, Classification: Muun
Unidentified Ming Po animal trainer, Classification: Human (ming po)
Unidentified Zygerrian cultist ally, Classification: Zygerrian
Unidentified Nikto senator, Classification: Nikto (kajain'sa'nikto)
Unidentified BX-series droid commando, Classification: Unknown
Unidentified OOM command battle droid, Classification: Unknown
Unidentified T-series military strategic analysis and tactics droid, Classification: Unknown
Unidentified Yalbec queen, Classification: Yalbec
Unidentified OOM command battle droid, Classification: Unknown
Unidentified Poletec scout, Classification: Poletec
Unidentified Purkoll citizen, Classification: Skakoan
Unidentified T-series military strategic analysis and tactics droid, Classification: Unknown
Unidentified Purkoll citizen, Classification: Skakoan
Unidentified ST-series military strategic analysis and tactics droid, Classification: Unknown
Unidentified human singer, Classification: Human
Unidentified pilot, Classification: Unknown
Unidentified Zygerrian overseer, Classification: Zygerrian
Unidentified 8D-series smelter droid, Classification: Unknown
Unidentified Gotal beggar, Classification: Gotal
Unidentified Ithorian prisoner, Classification: Ithorian
Unidentified Weequay prisoner, Classification: Weequay
Unidentified Zygerrian overseer, Classification: Zygerrian
Unidentified Toong worker, Classification: Toong
Unidentified Trandoshan manager, Classification: Trandoshan
Unidentified clone trooper pilot, Classification: Human (clone)
Unidentified super tactical droid, Classification: Unknown
Unidentified Gauntlet pilot, Classification: Unknown
Unidentified clone navigation officer, Classification: Human (clone)
Unidentified clone trooper, Classification: Human (clone)
Unidentified clone navigation officer, Classification: Human (clone)
Unidentified super tactical droid, Classification: Unknown
Unidentified Aqualish governor, Classification: Aqualish
Unidentified Aqualish governor's wife, Classification: Aqualish
Unidentified Black Sun guard, Classification: Falleen
Unidentified Aqualish governor, Classification: Aqualish
Unidentified Aqualish governor's wife, Classification: Aqualish
Unidentified Black Sun guard, Classification: Falleen
Unidentified Hisseenian premier, Classification: Human
Unidentified OOM command battle droid, Classification: Unknown
Unidentified Trandoshan hunter, Classification: Trandoshan
Unidentified super tactical droid, Classification: Unknown
Unidentified Qubey, Classification: Qubey
Unidentified Qubey parent, Classification: Qubey
Unidentified BX-series droid commando, Classification: Unknown
Unidentified OOM command battle droid, Classification: Unknown
Unidentified pilot, Classification: Unknown
Unidentified Poletec scout, Classification: Poletec
Unidentified Purkoll citizen, Classification: Skakoan
Unidentified T-series military strategic analysis and tactics droid, Classification: Unknown
Unidentified Yalbec queen, Classification: Yalbec
Unidentified Zygerrian overseer, Classification: Zygerrian
Unidentified pilot, Classification: Unknown
Unidentified Clone Commander (187th Legion), Classification: Human (clone)
